City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,masterton,-40.9597,175.6575,12.71,88,100,1.8,NZ,1684631360
299,uray,60.1247,64.7758,13.95,45,52,0.81,RU,1684631360
300,hikone,35.25,136.25,22.15,77,58,1.54,JP,1684631360
301,fada,9.5667,8.3,21.79,86,100,0.78,NG,1684631361
302,waat,51.1454,6.4958,14.32,83,20,2.06,DE,1684631361
303,thompson,55.7435,-97.8558,10.4,22,16,3.51,CA,1684631337
304,luganville,-15.5333,167.1667,27.41,86,100,4.05,VU,1684631361
305,iskateley,67.6803,53.1512,5.86,72,100,4.04,RU,1684631361
306,blackwater,-23.5833,148.8833,20.94,22,0,2.19,AU,1684631213
307,brookings,44.3114,-96.7984,20.19,32,0,3.09,US,1684631219
308,fallsburg,41.732,-74.6013,16.46,97,100,2.06,US,1684631361
309,ardakan,32.31,54.0175,25.22,28,100,2.62,IR,1684631361
310,mpika,-11.8343,31.4529,14.6,89,59,1.83,ZM,1684631361
311,san angelo,31.4638,-100.437,23.63,56,0,2.57,US,1684631239
312,grove,51.6095,-1.4219,9.04,81,0,3.6,GB,1684631361
313,road town,18.4167,-64.6167,27.05,78,40,4.63,VG,1684631113
314,dhidhdhoo,6.8833,73.1,28.82,73,7,3.59,MV,1684631361
315,dolores,-36.3132,-57.6792,7.18,79,48,3.39,AR,1684631361
316,rio grande,-32.035,-52.0986,17.8,93,100,2.05,BR,1684631361
317,acarau,-2.8856,-40.12,25.76,85,63,4.09,BR,1684631361
318,kapit,2.0167,112.9333,26.68,85,57,1.06,MY,1684631361
319,ajka,47.102,17.5589,14.47,92,5,3.09,HU,1684631362
320,peterhead,57.5058,-1.7981,12.22,98,100,4.7,GB,1684631362
321,kuala terengganu,5.3302,103.1408,27.52,80,100,2.74,MY,1684631362
322,darlington,54.5243,-1.5504,10.92,73,100,1.75,GB,1684631082
323,touros,-5.1989,-35.4608,25.09,89,8,4.71,BR,1684631362
324,mahibadhoo,3.7833,72.9667,28.33,74,9,2.89,MV,1684631362
325,isiolo,0.3546,37.5822,19.1,68,19,2.19,KE,1684631362
326,san luis de la loma,17.2706,-100.8939,29.82,65,100,3.54,MX,1684631362
327,kingston,17.997,-76.7936,27.53,89,20,4.63,JM,1684631362
328,el granada,37.5027,-122.4694,21.07,82,100,8.75,US,1684631362
329,yigo village,13.5361,144.8886,31.62,65,75,5.66,GU,1684631362
330,usinsk,65.9939,57.5281,5.43,73,100,2.21,RU,1684631362
331,huadian,42.9633,126.7478,14.74,51,6,4.79,CN,1684631362
332,sittwe,20.15,92.9,27.38,80,12,2.44,MM,1684631362
333,kitale,1.0157,35.0062,12.79,93,6,0.33,KE,1684631362
334,paracuru,-3.41,-39.0306,26.17,89,39,4.03,BR,1684631309
335,san andres,12.5847,-81.7006,28.04,79,100,6.32,CO,1684631363
336,tralee,52.2704,-9.7026,11.94,98,100,0.3,IE,1684631363
337,susuman,62.7833,148.1667,2.48,76,100,5.85,RU,1684631363
338,arkhangel'sk,64.5401,40.5433,8.58,71,100,1.79,RU,1684631363
339,linxia chengguanzhen,35.6003,103.2064,5.59,78,100,0.62,CN,1684631363
340,vertientes,21.2594,-78.1464,26.34,90,0,3.91,CU,1684631363
341,gulf breeze,30.3571,-87.1639,27.17,83,0,3.09,US,1684631145
342,gamba,-2.65,10.0,23.91,89,100,2.09,GA,1684631121
343,ibiza,38.9088,1.433,15.52,77,0,0.51,ES,1684631186
344,urengoy,65.9667,78.3667,1.62,75,91,1.83,RU,1684631296
345,ghanzi,-21.5667,21.7833,14.71,33,5,2.97,BW,1684631364
346,zharkent,44.1628,80.0,16.86,59,6,2.83,KZ,1684631337
347,umea,63.8284,20.2597,5.51,93,5,2.06,SE,1684631364
348,copala,16.65,-98.9833,29.45,67,83,2.86,MX,1684631364
349,muisne,0.6,-80.0333,25.38,83,100,3.22,EC,1684631364
350,kadnikov,59.5022,40.338,10.73,74,100,3.19,RU,1684631364
351,fairview,40.8126,-73.999,19.19,93,100,3.6,US,1684631222
352,cole harbour,44.6724,-63.4751,13.44,87,100,2.68,CA,1684631364
353,aioun,16.6614,-9.6149,34.43,26,100,2.96,MR,1684631364
354,palmer,42.1584,-72.3287,19.23,85,100,4.12,US,1684631364
355,zavodoukovsk,56.5042,66.5515,14.15,53,100,0.79,RU,1684631364
356,chonchi,-42.6128,-73.8092,8.95,92,100,4.68,CL,1684631365
357,tenosique,17.4833,-91.4333,28.79,67,87,3.59,MX,1684631126
358,okha,53.5739,142.9478,6.67,77,100,7.33,RU,1684631365
359,minas,-34.3759,-55.2377,12.44,80,100,4.1,UY,1684631365
360,acajutla,13.5928,-89.8275,28.7,75,99,1.24,SV,1684631365
361,tavas,37.5735,29.0706,10.91,72,2,1.2,TR,1684631365
362,jamai,22.2,78.5833,28.26,25,0,0.89,IN,1684631365
363,hatillo,18.4863,-66.8254,27.7,88,82,0.89,PR,1684631365
364,kosh-agach,50.0,88.6667,5.17,65,100,3.85,RU,1684631365
